target_id,cluster_id
P34995,2
P37231,1
P11474,2
Q14289,2
P24530,1
P48169,1
P56282,0
P28472,0
P08588,2
P01584,2
P55011,2
P28221,2
P49721,1
P22033,2
P21397,0
P14679,1
P05107,1
P43119,2
P12271,2
P18545,0
P14867,1
P41594,2
P14555,2
P62158,0
P07327,2
O14764,2
P48549,1
P78559,1
Q13956,2
P37288,0
P34903,1
P42262,1
P17405,2
P11388,2
Q03181,2
P51787,2
Q01959,0
P35372,0
Q9NPC2,0
P09917,1
P21728,2
O00555,1
Q92731,0
P07949,0
Q02880,1
P43681,1
P35916,1
P11137,0
P19838,0
O14788,2
Q71U36,0
P23219,1
O00305,1
P55017,1
P12931,2
Q9NR33,1
P04049,1
P29474,1
P35348,1
O43451,1
P08174,1
Q92769,2
P02679,0
P30085,1
P48039,2
P41143,2
P30518,0
P20309,0
Q01668,2
P38606,0
Q9NZV8,1
P14625,0
P16066,1
P16220,2
Q9NR97,1
Q9H2S1,2
P16860,0
P49841,0
Q9H244,2
P15692,0
P28074,2
P48167,2
P68371,2
P25100,0
P01189,2
P43116,2
P05023,0
Q9Y5Y9,0
Q16558,1
O60391,2
P14416,2
P43088,0
P23975,1
P28335,2
Q14416,0
P00918,2
P05108,2
P00797,1
P10109,0
P29466,0
Q14524,1
Q9NYK1,2
P17787,1
P54750,2
P21802,2
P31645,2
P23141,2
P42261,0
O76074,2
Q9UPY5,2
P07900,2
P17302,0
P29317,0
P08235,0
O00180,2
P28223,2
P04746,2
O95237,0
Q9H169,0
P51172,2
P25101,2
P15502,0
Q9UK17,1
P12821,1
P04083,2
Q14500,2
Q8N1C3,1
Q15822,1
P15538,0
P31350,2
Q99720,0
P42684,2
P09622,2
P35462,2
P07202,2
P00750,2
P30536,0
Q13002,1
P08729,0
O95665,1
P19634,1
P27169,2
P07510,2
P08173,2
P11473,2
P49286,2
P02585,2
P00742,1
P27815,0
P34969,2
P46098,0
P00491,2
P18825,2
Q99707,1
P08908,2
P00519,1
Q13332,1
Q9Y2I1,2
P16233,0
Q12791,1
P29034,2
Q13621,0
P21817,0
P35219,2
P09211,2
Q92569,2
P07947,2
Q9NY72,1
P30939,2
P54284,2
P03372,2
P80511,2
Q14832,1
O15111,0
P07451,2
P07437,2
Q09470,0
P35228,2
P20701,1
Q9BYF1,0
P51170,1
P13945,2
O15530,1
P28476,2
P10276,0
O60840,1
P16083,2
P05091,1
P50406,1
P35368,0
P00749,2
Q4U2R8,0
P30556,2
P06276,0
P23280,2
P52209,2
P27487,1
P06239,2
P35968,2
Q9UBK8,1
P01579,0
P00747,0
Q07001,0
P06401,1
P12268,2
Q14181,1
P20618,0
Q16853,1
O15554,0
Q13224,0
P29972,1
Q00975,2
P27986,2
P01375,2
P00813,2
P34972,2
P21589,0
Q9UBS5,1
Q16790,1
P05121,1
P42345,0
P43115,2
P31939,1
Q07343,2
Q7LG56,2
P19801,2
P23297,2
O43570,0
Q16515,0
Q13639,1
P00533,1
Q99835,1
P08100,2
P36544,0
P11511,0
P00492,0
P17948,1
P15144,1
Q99519,0
Q07869,0
P13569,2
Q9UP95,1
P99999,2
P32297,1
P02675,1
P22748,2
P03886,0
P24385,2
O60882,0
P36888,1
Q8IVH4,2
O15399,1
P27707,0
P00734,2
P42263,1
O43525,0
Q16881,0
P25021,1
Q96EY8,0
P04818,0
P14410,1
P47989,0
P10415,2
P30532,0
P24046,2
Q04844,2
P26447,2
P10745,0
Q08345,2
P02708,2
P80404,1
P11387,0
P29274,0
P51168,0
P15382,2
Q9UKV0,0
P00326,2
P51843,0
Q9NY46,1
Q99808,1
Q13698,2
P42330,0
P22303,0
O00459,2
P22102,1
P48443,1
P09619,1
Q13936,2
P09038,0
Q08289,1
P13500,2
P49902,0
Q16739,1
P05412,2
P19793,2
P28482,1
P22413,2
P49327,2
P37088,2
Q96RD7,2
Q14654,1
P28222,1
P35354,2
P11230,0
Q09428,2
P39086,0
P23416,0
P29074,0
O43497,0
P18089,0
P09455,2
P62942,2
P09210,1
P69905,2
P06241,2
Q99250,1
P00374,1
P18505,0
Q9Y233,2
Q9H3N8,0
O75469,0
P31749,2
P10721,2
Q13200,1
P04156,1
P09884,2
Q8IWT1,1
P02671,2
P15121,0
P51692,2
O75899,1
P22888,0
Q8TCU5,0
P10696,1
P29275,1
Q04760,2
Q9NRF9,0
P04271,2
Q13509,2
P21918,0
P10253,1
O60494,0
P15056,2
Q9NSA0,0
P18507,0
P05093,2
P08172,2
P33151,1
O43526,2
P48048,2
P26358,0
P28702,1
P78348,2
Q07699,1
P00352,2
P25024,2
P42574,2
P30531,1
Q05586,1
P13631,1
P30968,0
Q07864,0
P59768,0
Q16620,1
P08912,2
P41595,2
Q9NYX4,2
O14732,2
Q9H4B7,2
P23469,2
Q99928,2
P27361,1
O95180,2
P48051,2
P16234,1
P21964,1
Q92781,0
P25103,2
P04150,2
P07333,2
O14920,0
O14649,0
Q13255,2
P21917,2
P11229,0
P68366,2
P00367,1
P01133,2
P10826,2
P62508,1
P47870,1
Q14957,0
P30926,2
P07098,1
P19320,1
P41180,0
Q9Y478,2
Q05940,0
Q08499,0
P08913,2
P04629,0
P29218,2
P07550,2
P30542,1
P21554,0
Q99584,1
Q99460,2
P41145,2
Q9NR96,1
Q12809,0
P05164,1
P04035,2
P14324,1
P27338,1
P63316,2
P09172,0
P35869,2
P35499,1
P23921,2
P16471,0
P10275,2
